Region,2008,2009,2010,2011,2012
Российская Федерация,212.3,219.4,228.4,242.0,257.5
Центральный фед.округ,229.5,235.4,249.2,264.0,279.2
Белгородская область,203.1,208.4,213.2,226.4,245.7
Брянская область,115.5,120.4,125.1,129.4,139.3
Владимирская область,181.9,191.3,206.6,223.6,238.4
Воронежская область,218.0,222.2,232.4,249.8,280.2
Ивановская область,151.1,154.6,176.0,183.1,196.5
Калужская область,213.1,224.5,229.5,240.7,276.8
Костромская область,196.2,197.3,205.5,225.1,235.9
Курская область,184.9,193.5,203.4,254.2,237.0
Липецкая область,221.0,233.6,245.4,263.4,277.0
Московская область,274.0,278.6,293.2,304.2,326.6
Орловская область,189.9,184.4,213.1,247.3,271.7
Рязанская область,252.1,262.8,272.4,297.6,340.2
Смоленская область,222.5,231.7,246.0,244.7,263.5
Тамбовская область,191.3,200.4,209.4,227.5,239.1
Тверская область,194.8,207.4,218.7,297.6,319.0
Тульская область,223.3,230.9,252.6,274.6,291.3
Ярославская область,175.3,179.7,184.1,188.4,194.8
г. Москва,259.6,263.6,279.5,285.0,291.5
Северо-Западный фед.округ,236.5,242.7,253.7,265.8,277.0
Республика Карелия,247.4,256.0,264.1,281.5,300.4
Республика Коми,195.7,204.8,214.2,221.2,242.8
Архангельская обл. (с АО ),172.2,177.3,192.9,207.3,227.5
Ненецкий АО,152.8,173.8,198.3,207.9,228.6
Архангельская обл. (без а/о),172.9,177.5,192.7,207.3,227.5
Вологодская область,221.9,225.1,228.8,240.4,254.7
Калининградская область,279.0,284.9,283.4,293.1,310.2
Ленинградская область,235.9,244.5,265.8,282.3,284.4
Мурманская область,193.7,195.2,247.9,266.0,278.5
Новгородская область,196.9,202.7,217.6,233.1,255.1
Псковская область,204.1,213.0,221.7,239.5,292.1
г. Санкт-Петербург,272.2,277.8,281.0,288.9,288.8
Южный фед. округ,213.4,221.1,230.2,244.4,260.1
Республика Адыгея,220.6,235.6,240.0,250.4,260.8
Республика Калмыкия,157.6,165.6,180.8,193.4,234.8
Краснодарский край,236.2,241.2,249.1,261.7,277.1
Астраханская область,202.8,208.2,229.5,236.9,256.2
Волгоградская область,188.4,192.6,200.9,218.0,228.5
Ростовская область,206.6,219.5,227.4,243.5,260.5
Северо-Кавказский фед. округ,129.1,145.2,154.7,166.1,178.0
Республика Дагестан,65.2,99.3,106.5,121.3,132.5
Республика Ингушетия,109.9,97.0,105.5,117.6,115.0
Кабардино-Балкарская Респ.,144.2,152.2,156.4,169.1,187.4
Карачаево-Черкесская Респ.,160.6,165.8,173.0,193.4,198.3
Респ. Сев.Осетия - Алания,172.7,185.3,194.9,206.8,224.1
Чеченская Республика,71.2,93.3,100.3,109.9,114.8
Ставропольский край,201.7,207.2,223.6,231.0,247.8
Приволжский фед.округ,193.0,198.2,209.3,225.0,237.8
Республика Башкортостан,218.4,219.6,223.5,238.7,263.6
Республика Марий Эл,140.3,145.8,155.1,166.1,179.7
Республика Мордовия,153.9,169.9,176.0,196.6,189.4
Республика Татарстан,186.3,190.0,197.4,212.2,230.2
Удмуртская Республика,182.8,189.6,194.6,206.5,216.4
Чувашская Республика,127.0,132.0,139.0,149.8,163.6
Пермский край,181.9,185.1,187.9,202.7,219.2
Кировская область,182.5,189.6,195.3,225.5,232.2
Нижегородская область,185.4,189.7,207.6,227.6,240.6
Оренбургская область,225.2,227.9,247.2,260.4,253.0
Пензенская область,177.9,197.8,223.0,238.7,256.6
Самарская область,230.4,233.1,236.3,254.8,257.2
Саратовская область,196.2,203.5,239.7,248.9,264.3
Ульяновская область,182.8,188.9,196.1,212.0,231.7
Уральский фед.округ,232.1,239.7,254.1,265.8,283.6
Курганская область,217.7,221.8,226.0,246.8,265.3
Свердловская область,238.9,253.5,275.5,285.6,303.8
Тюменская область (с а/о),256.2,259.9,260.7,268.7,283.8
Ханты-Мансийский АО - Югра,272.5,271.4,266.1,275.8,282.1
Ямало-Ненецкий АО,221.3,222.7,220.7,228.2,242.9
Тюменская обл. (без а/о),251.5,261.3,270.3,276.5,301.8
Челябинская область,204.3,207.5,228.7,243.4,262.9
Сибирский фед.округ,200.1,205.7,217.3,233.6,249.6
Республика Алтай,181.1,176.0,192.3,183.2,186.3
Республика Тыва,115.4,119.1,127.4,135.4,149.0
Республика Хакасия,205.8,209.2,223.6,247.7,264.4
Алтайский край,198.5,223.1,215.2,229.6,245.1
Красноярский край,212.5,220.0,249.4,262.1,276.7
Иркутская область,188.2,189.8,202.6,224.3,251.5
Кемеровская область,190.4,192.4,201.6,210.1,225.6
Новосибирская область,230.4,229.9,232.1,260.2,273.0
Омская область,192.9,193.8,207.3,223.5,238.6
Томская область,186.5,188.7,220.4,231.3,239.9
Дальневосточный фед. округ,203.5,214.4,225.7,227.5,260.4
Республика Бурятия,173.0,172.9,182.7,191.7,208.5
Республика Саха (Якутия),142.5,141.8,142.4,148.0,206.7
Забайкальский край,190.1,204.2,208.9,218.2,229.5
Камчатский край,266.6,364.1,372.0,384.9,422.6
Приморский край,270.3,280.4,304.2,281.3,346.7
Хабаровский край,164.1,173.8,183.5,195.2,214.0
Амурская область,185.6,189.0,201.4,214.6,234.3
Магаданская область,239.3,263.9,269.9,286.5,285.6
Сахалинская область,271.9,282.7,291.0,294.9,305.0
Еврейская АО,130.1,132.9,142.4,146.5,159.5
Чукотский АО,46.5,52.0,59.2,60.7,71.4
